ID,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample12,sample13,sample14,sample15,sample16,sample17,sample18,sample19,sample20,sample21,sample22,sample23,sample24,sample25,sample26,sample27,sample28,sample29,sample30,sample31,sample32,sample33,sample34,sample35,sample36,sample37,sample38,sample39,sample40,sample41,sample42,sample43,sample44,sample45,sample46,sample47,sample48,sample49,sample50
Sparcl1,57.9630126564,58.567476485,87.7523400491,49.3598609761,76.268299174,87.6753279285,46.0884671952,82.384604797,58.0143204344,33.7737921054,63.3350949417,67.6980035147,46.2224765188,98.2876512278,70.5743269762,55.0450780613,51.3141368801,46.3606672499,84.5872305774,63.5754765405,70.4496548873,67.093851353,50.912601561,49.1101695315,82.4443300231,56.4384457049,31.2084996029,78.6793062891,74.3923923046,27.7739828499,25.6020801601,93.7454260774,104.803194968,83.727703094,58.4481470706,56.8605546669,66.849155746,74.7279648481,40.551007399,34.2180342813,54.479021849,64.871681135,83.9143459687,91.1201157177,28.8992315151,68.0336715348,70.524374516,116.790122623,33.1522959576,77.9234025784
Lockd,111.939246014,117.098595349,113.87393116,111.025215283,110.820677601,163.266095277,132.906235833,102.948791709,112.038332547,131.054949519,100.094255925,102.405972728,117.92699712,110.935484752,108.699951497,139.788852096,108.345356145,113.868008937,120.499390049,127.111486585,106.093142115,110.317477029,103.678664129,155.613382098,100.783785394,89.194848979,147.78384996,105.178043829,129.239335071,133.042359866,133.969292581,154.024521135,120.228631982,111.450652831,114.773224695,118.422720145,113.522613399,85.0804324654,109.791556161,109.952399943,110.626165117,95.3699199369,123.735242089,142.330988852,106.081428789,124.076957541,92.89178687,106.561073682,107.711518809,123.930570695
Rgs2,630.324823861,624.524107994,545.036106042,543.210181471,445.554718079,456.526869404,559.794967365,501.314463478,504.706220514,599.627413275,548.159269089,421.952535556,525.270440949,295.827138033,612.546453733,688.189361236,685.788482192,493.375446291,558.534533486,547.555652802,505.633996924,633.61657049,703.756251152,490.947898808,514.541430238,559.952750738,636.605586264,407.109425118,625.091080879,498.351268767,356.019971275,523.314796609,419.257655231,666.252602366,527.366788825,420.468500075,405.978146341,405.235006061,606.342216511,654.909342688,562.075365231,479.293651582,445.682242195,653.990830533,492.614628996,607.068101156,492.489999771,585.430895408,666.237446152,610.118038777
Ucp2,1057.44755757,753.896612597,995.776697837,931.506518708,869.812407322,986.994189353,798.6237863,1078.22664359,981.282799073,666.191303924,809.53734436,788.424523327,560.54400204,992.320128431,1249.84609566,948.651018758,754.862218461,783.974022816,1052.21449735,773.097634615,590.572195536,879.941943817,781.879354112,965.022344694,857.490048182,1005.96899795,962.679014143,904.604268434,976.614836461,1076.58565201,1084.54873643,816.738852797,746.64827554,754.72644213,798.966978756,838.111623174,840.584373518,933.543661646,842.064386358,954.98813985,1092.82363733,1042.17747847,856.487561632,796.45391476,655.318735894,667.126908352,904.335045642,798.241313859,984.724548009,776.699092432
Mmp2,146.623251335,144.120947999,194.535964003,130.806465103,197.415013549,148.062768455,96.3003929873,166.116035235,116.470666272,117.766431412,138.222524888,87.341224143,145.459506724,172.244913506,132.657989388,164.694889868,145.363712465,135.567922273,141.221440574,153.73677944,138.824955369,175.46305029,102.440259043,81.340480276,132.989169662,138.567685616,58.7635925782,206.080205271,192.335717194,51.1129506428,78.4480730749,232.328766846,218.545166889,161.588866456,165.954583896,173.514602746,138.543591199,176.029685891,60.4476548153,60.4531700943,103.767759735,154.216682619,193.468715531,150.920960892,143.596167157,143.747229304,143.958615318,184.226505548,85.6591002195,168.955764584
Cald1,21.9923790861,15.0591870579,26.081807355,15.4507348341,26.3720825756,22.1976187048,19.0737828902,29.7825846944,25.795132418,23.6477794468,25.8749242069,23.3519039626,20.3465583088,24.5013259218,17.6602240034,29.875176387,22.5013003036,20.3291989204,20.1892351126,18.3458092335,30.0392038029,25.5614846099,23.9789471586,17.843168404,19.2850549051,21.7583600645,15.4246655096,32.933290318,27.6881857392,13.2823085002,18.1567658386,31.9256251269,26.5538200323,21.3657343738,23.1961698842,20.5627983083,28.1686370893,26.9652196413,18.5111611578,21.9958161903,17.6526707656,25.7561268388,27.2520721958,24.6830398367,27.2089802533,24.4616825756,29.4591247165,28.6515343954,20.7548126697,26.3320125
Tmem98,112.817459999,205.189146303,246.344002731,163.323326485,212.312756702,115.438768626,144.908404495,230.068697711,200.171619661,197.208871586,190.348816054,171.641709379,151.8176832,148.106415912,138.960994719,196.995824685,242.802701793,163.356474137,153.113372481,171.691179268,216.229401553,216.503560357,143.136864641,138.259121438,130.815617857,121.15818624,134.274624598,251.076780499,153.624079199,72.0779236183,186.866688039,228.07908811,185.593618068,159.422357495,185.269072191,166.007503519,210.182830771,193.93100988,128.256794272,147.473532373,168.995393526,155.973527294,112.696563304,127.8991194,184.565695074,220.101330707,183.640338898,135.307602945,125.826926876,144.773771913
Icam4,2685.15282611,2273.8821035,2723.13051705,2422.1121903,2711.48748606,2774.08853343,2157.87165819,2636.51237047,2140.06992505,1358.7145548,1318.38956289,1361.74022773,381.661407453,3096.66764756,3066.62353175,1709.12550002,1502.79078682,2172.3567921,1963.61751522,1439.85198643,1125.05870024,1749.46560526,1601.47815376,2433.03143864,1065.5172741,2772.59463308,2139.02253133,2227.40279775,2054.67387174,3494.57112097,3125.66622421,2260.74926268,1361.88663382,1288.21868189,1181.9005934,2829.19827264,2377.74697885,2538.64888988,3013.48611127,2444.8367811,2458.0331625,3024.84065443,2613.16683608,2133.13142272,1278.33464425,416.438056096,2050.49802031,892.180496369,2721.76012635,2306.27611878
Cryab,125.93206496,109.067434291,131.990671463,150.136863279,57.8032476337,78.4353596448,69.3229118266,93.3866609444,103.126530826,57.9299106327,109.273448183,127.729607902,75.3181854532,41.3308072831,96.2780816846,173.60198495,115.330894345,166.716387847,99.2393567716,134.672714681,164.834808543,92.0652510857,86.0332233582,137.183310001,70.0907716341,108.193895378,85.6477395174,59.6305342368,153.742751726,70.3996220035,114.724080328,124.467406982,167.97419789,106.772763792,174.15234045,123.53683385,89.3774451419,129.88485577,121.140600064,42.4817484553,77.6754883657,124.360616138,87.5110361588,68.5281170317,70.635689906,143.816945389,149.082063184,144.995138252,32.4124230876,69.2585047783
Tm4sf5,122.959539692,87.8567126974,137.824799991,115.180216787,31.0413666147,60.1731082585,72.3870585049,114.927745836,41.022793728,41.4791825147,119.536948877,83.1431020508,146.059326444,92.4807280066,67.0224504233,72.5101511754,113.547006206,65.282036286,69.0838948272,101.992042826,105.380009987,51.5006964793,154.00454338,20.4638512419,62.733307316,29.0510179737,28.7464696072,42.6968691311,116.434404366,18.0027821438,18.6693517562,121.529453789,70.1595346738,116.801387885,87.6777073739,100.517371741,69.9960176949,106.563211069,49.2838222822,66.539230605,119.180318459,122.437060188,29.3718591455,40.8897902468,42.1473501579,75.0869039224,77.8358247322,43.2583080255,58.0201487586,30.9942019699
Fos,1671.29956488,924.520549396,1433.07129347,1380.38701989,1197.71608714,1055.3410092,1432.78276705,1337.65905121,1600.8314856,1400.39738573,2172.72470021,1512.8807545,1734.03948479,1021.83825666,1158.67522733,1580.55783556,1683.66746751,1046.80549911,1609.72649313,1219.62196601,1552.48670741,1625.83315747,1408.37636022,1525.34003476,1687.03902978,1341.7066137,1277.22444651,1609.99623029,1503.7097943,1168.2390499,1244.23726406,1492.0038882,1494.16292024,1676.05473186,1264.35422582,1674.769714,1473.14313837,1665.06448673,1365.68908596,1483.74787631,1498.00104277,1776.44583203,1270.6685203,1129.49889349,1422.95569484,1542.66056788,2008.67227448,1820.83729171,1543.33195638,1503.93014789
Cd14,70.2237170971,0.0,0.0,32.8904246839,0.0,34.3656079209,0.0,35.8018145884,35.142938911,0.0,0.0,35.6130420519,38.4998268983,31.6901339907,0.0,0.0,70.7433846141,63.9143657798,0.0,31.7721380523,36.1102978795,0.0,37.6945300626,0.0,35.8277693341,66.3655857098,0.0,36.5770667282,36.271162603,30.8448360345,31.986894536,69.4069773133,34.3448398457,0.0,33.3825502479,34.4440300971,68.5295884229,33.1961294192,0.0,0.0,68.0653570106,0.0,33.5492655944,0.0,0.0,0.0,38.1025750401,37.058033795,33.1360260664,35.4023457835
Tsc22d1,163.821289279,143.585182393,186.984295659,196.424642819,183.955900431,161.622226126,196.412302433,181.071809892,192.824369776,226.138196607,189.723652333,202.714784703,257.228044472,115.328116524,138.382142245,180.847606722,229.726764015,172.362523368,164.728456785,180.258825542,174.544973926,185.755445669,224.411717212,186.488296856,233.35747076,146.150885675,183.837397897,180.214326893,192.245564684,147.366559334,172.522774487,181.345874241,193.573075901,190.135275222,173.820192783,189.632376896,211.666746437,166.03465944,152.545391799,165.955530542,168.948476694,177.954741911,174.062143059,160.819736701,244.605522108,229.119457505,199.108073826,234.454505971,167.589276729,188.96204718
H2-K1,532.80472237,394.798099458,710.974331561,512.959351532,328.796239059,231.76922042,448.093584355,543.274456855,562.90281513,494.275084656,769.112984526,615.466863517,616.671844035,440.80829846,580.839488823,613.435929363,626.205496516,255.937448173,513.175432631,281.240254378,730.607380021,342.180704449,556.106695642,694.608053622,649.381588934,741.311183478,553.614982132,678.380409156,473.952607077,533.062423092,701.111625576,263.303957742,448.781489655,659.490214278,647.275381686,696.894350488,606.609440281,391.793500198,783.035857312,494.272920456,502.083468239,836.003573424,282.829535213,398.660527994,563.114343996,449.312744449,883.341761576,609.198361349,684.397240255,432.754690683
Dhrs11,246.572476619,263.38063405,229.720095609,230.972492104,203.719695015,314.462835178,158.355028465,213.324093903,209.39820192,90.7404895778,198.106700506,128.835288141,131.085784864,269.749660017,286.256787843,166.17784633,127.962170818,156.413114339,201.505303256,121.701459137,61.4749093768,172.751015429,112.300892611,290.985706334,144.860576637,324.823623582,265.519567945,241.294491555,177.527710217,269.118257339,279.082609017,199.394759005,102.32137567,61.9433914907,191.805084137,285.861327559,196.87416593,211.92663529,258.753691334,180.219905476,210.024987832,178.563448142,157.066128051,208.719294238,199.771397066,62.5757147813,162.166506867,31.5441771878,204.491499848,203.410160735
Nnat,13829.2183588,14857.3666368,13716.8088776,11975.7197522,9192.68806736,14995.9425268,17571.2553058,4488.9764775,14289.5645363,22503.4744083,8915.95856313,18794.6554934,20645.4180132,9742.77850275,4508.85066859,14684.3753655,19569.3272843,15416.4587162,6036.99998723,14606.9708287,19133.8203982,8350.86426371,23978.5928873,13188.449945,14314.2269196,8203.65498218,13909.3330166,7203.15391466,7168.60587416,13896.6015638,15498.7689628,9194.19609004,8831.55432655,11908.0089808,15394.6395281,11638.6166385,8228.42756305,6231.63986946,16006.7202969,19751.2851649,14898.8802813,5376.6918197,9672.67177908,18560.8708615,20487.2968377,16664.3351364,10202.7008051,12784.4002362,13097.9595943,19460.8939093
Hacd4,19.899318595,14.8954734615,23.2154680297,14.6459827294,14.353200955,11.1293645752,21.5170800294,26.0875861075,18.4942950221,14.384652812,19.5966583246,14.4166854818,21.8194180818,16.6772246567,14.6097954086,22.9905806628,21.47847531,12.9367396904,26.0112703056,23.1512954521,16.0797801846,24.289647172,27.4667446355,19.8707654515,31.9079425665,24.179192475,22.5965100777,26.6524864396,19.088033123,9.98915620181,15.5385208844,25.2872726974,23.6356074422,25.0399482203,18.9192492325,9.76041652209,26.3547001966,20.1574253199,6.83649609081,18.460223613,24.7984757528,21.616104478,21.7299812587,15.5982818527,30.6943729516,28.2715061046,27.7640733773,19.5021313294,18.7795339502,14.3313925201
Ppox,339.349322913,367.886953271,337.278452382,274.034132926,366.310425027,229.059968901,283.427598709,369.88089838,327.937649688,201.320094276,186.152445882,344.193164554,307.939350492,433.015161622,393.634150401,307.568691494,176.824430659,319.510337302,326.847207405,243.539521157,120.344498609,235.256212126,263.81093851,432.341679186,298.50729501,364.940486514,306.400379663,390.080305242,278.025405706,431.744612757,405.089369017,289.140092136,240.367618793,133.387769309,200.256760925,367.332292496,319.743209559,398.276902357,382.720126932,347.37432795,340.261299815,292.358719208,290.704354098,326.874415202,336.927393171,208.249076974,241.269874816,321.10782718,375.46936752,283.164269681
Mpeg1,53.9966606047,90.0236065856,64.8478030718,113.805980016,13.6315583321,79.2735621563,81.7410227798,68.8221341477,67.5555718024,68.3071443465,128.848070311,13.6918510175,59.2068370148,24.3672861585,50.4554613302,81.8800216698,67.9953064105,110.576818399,52.0073462248,73.2910230054,27.7660536858,108.557294954,101.444724191,121.318159166,123.969648919,63.7875662871,113.613960345,70.3124079614,111.558985356,47.4346335288,61.4886807285,53.3686502582,79.2256549781,55.955301148,102.674498609,13.2424106833,65.8675067416,51.050562623,90.8988411417,150.275059575,143.926879219,73.3189337318,128.984079932,40.4019264897,69.4074703627,84.7897462716,131.840830128,71.2369750642,63.69766609,27.2216927401
Clic1,2173.89731875,2110.62371933,2261.55236715,1990.96404538,2083.35960214,1917.63535019,2096.10261625,2174.25919889,2134.24540297,1842.69875293,2180.69198233,1959.15517813,1897.81705908,1974.54355814,2645.90328998,2288.63702418,2210.9079498,1959.6767393,2180.49413652,2205.18314817,2143.15275661,2282.68159887,1895.28303136,2143.12481258,2472.5402744,2054.46215034,2117.09043556,2228.55273089,2360.10310762,2031.34876001,2081.33304201,2456.53606613,2329.56857226,2001.64897075,2126.07017082,2281.96404862,2249.82077074,2277.83495693,1764.8534515,2074.48669279,2140.63378138,2406.57046602,1984.53989103,2023.72225634,2256.82530312,2159.78647678,2261.39476899,1943.65674701,2221.44160178,1919.64222412
Gypc,82.4580070401,80.3837961782,77.3805872621,73.648498649,77.4574089945,90.0898426548,94.8292607318,93.8548752127,95.9662759656,56.279676304,58.978113237,87.5250054403,50.4638730019,91.7298123739,82.4258604631,69.7889504535,61.8182030847,78.54012028,90.5020152807,69.4091925791,74.9419911467,77.1057001493,74.1124882055,88.084319168,56.745095012,96.0504415511,84.2838790042,105.875458562,91.1233899948,87.5984395237,103.070563455,87.1849509114,67.5265491772,53.6540460941,52.8722837275,103.463510455,65.4978029545,79.7720376748,73.7866452862,78.2736898352,98.5105085004,116.651850042,86.1175043813,89.9158274241,80.8495368672,46.1718620121,81.1576558133,46.5501161749,88.6761977803,69.6057473054
Il13,17.9975551956,0.0,17.2914680579,0.0,0.0,17.615043776,0.0,18.3512112658,0.0,0.0,19.0871907123,54.7633520278,19.7341521716,0.0,16.817242771,0.0,18.1307401823,16.3805388474,0.0,48.8570669783,37.0186658344,18.0915438653,0.0,0.0,36.7290301786,0.0,0.0,0.0,18.5917885849,0.0,16.3957683742,17.7882339015,52.8131955721,0.0,0.0,35.3104824671,17.5633689181,17.0155951921,17.3127839743,16.695993474,34.8887831733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1464524703
Ptpn18,114.247114421,97.9578414164,73.1766179068,89.1825029002,103.8308346,89.455168768,65.3363415533,85.4275372958,95.2902031967,50.102171816,80.7760253199,57.9389337159,54.2840567626,123.736191032,156.573385072,107.795791152,76.7283750715,76.253772737,113.706023186,89.5962753316,66.5809763143,107.187497538,57.2369569139,102.674865122,97.147123312,75.5792185935,89.0320293061,122.98176885,145.557090879,66.9087056319,111.017699466,112.918358733,104.301293328,102.605742743,119.482312103,74.71608758,66.8945597305,108.013706846,54.9501193397,81.2550895372,99.6621064326,86.8725371118,112.801500926,75.9850037932,58.7414341507,99.6664910539,86.7848243069,100.48298975,82.6605757645,88.3140989813
Clec12a,34.9612438455,17.9346547414,12.9190887029,10.0767196838,16.2942122547,26.3216879313,10.8563896173,27.4217232862,29.6087769041,2.72165290126,19.9650343571,10.9108546118,0.0,16.9907214657,27.6425107927,24.4684140288,10.8369117014,14.6862001765,10.3609912326,29.2023224375,8.29740006995,27.0337092473,23.0971303475,10.7418703507,21.9532822666,35.5820263188,22.6343648059,22.4124104093,16.6687269168,23.6250192419,7.34992721042,5.31609625908,15.7834686099,13.934386839,15.3412400909,15.8290523491,13.1222357879,38.1389219613,15.5220175251,17.4638629833,10.4266747749,20.449410297,20.5571407631,13.414899898,8.29648398666,22.5226083494,35.0207367281,8.51517019408,12.6899564735,13.5578788522
Rab32,77.9428198962,74.2553195584,101.314914284,85.8959824375,106.48627236,67.3114063469,69.4065341569,130.899035003,114.72325504,88.1596806444,77.7992972457,55.8037896568,40.2181545162,78.6232606579,145.662375828,64.8895879412,36.9504047502,83.4587466305,79.4872531922,74.6779384739,51.8677167672,92.1763068771,73.8317167541,68.6743952356,51.4619014893,95.3254779059,94.3261594444,100.300141061,113.670060847,60.4153226913,96.0667921244,99.6940388852,62.786013011,61.7653462705,47.9496643036,71.9626780799,98.4337845772,108.367943596,66.1563974469,63.7994895379,128.874651385,114.549778628,131.424897488,59.4626765398,75.4356221915,71.9952139162,69.6555518374,58.0680167668,95.1911291643,152.552508716
Pgd,224.685764756,214.055807635,229.797953487,237.627977396,230.548878376,205.722633294,182.867184923,258.662296687,188.612934276,220.051500111,292.096235246,191.135988282,202.655783897,258.393281311,331.857184058,216.150213135,178.888313135,201.200183939,251.312538309,206.593684269,197.531786195,196.716026633,155.621062078,253.313479484,277.339088046,297.962931801,267.727657716,241.61222172,265.796877875,273.785830226,237.702979335,232.817993741,205.598309489,255.368377237,175.719410553,216.857199679,279.386405003,181.590602239,250.997710955,231.969940675,263.443474039,287.372994955,249.313367301,198.847651828,223.59620093,220.03766962,235.958500576,175.94229596,191.521926002,204.620959552
Rgs1,43.7697848036,41.6990219487,16.821036582,41.0005869818,0.0,0.0,17.6691765089,8.92597421435,8.76170580019,17.7183639143,37.1358096541,17.7578203063,19.1972650606,15.8017308398,24.539569594,17.699222572,0.0,15.9348901009,33.7257945505,7.92131036513,36.0115364487,17.5993455365,9.39785894176,8.74139607893,8.93244515427,16.5460190657,24.5588451301,18.2385143438,18.0859806041,0.0,39.8742632333,25.95643113,25.6881801984,0.0,16.6456245946,25.7623694234,25.6283101659,8.27633455508,33.6835451556,40.6044061816,42.4244991876,9.50919235531,25.0931314277,0.0,9.00189013917,45.8204748997,28.4987735581,46.1958503907,33.0453992498,17.6527602986
Neat1,14.6390975413,5.57860681676,19.6906790224,19.1980891083,20.6957388668,11.4623721379,20.6835102897,17.9121109818,11.721644638,29.6301271273,21.7355602483,26.7264984597,25.682615257,21.1399786518,8.20742332914,17.7588704262,11.7979434935,26.6476533462,16.9197266436,7.94800584082,21.0775240234,20.6017662629,15.7158841819,17.5417106236,11.9500643179,16.6017805281,30.1175239245,12.1999864375,15.1224432209,10.2880469909,16.0034571286,14.4688369249,22.9108902268,18.204128232,11.1344811573,17.2327938361,20.0003064378,13.8403774864,8.44926537707,16.2964985649,36.8918101789,28.6237173767,22.3801754406,11.6836408991,18.0644545174,21.454950401,15.8860093326,15.4505114181,13.815318749,14.7602096425
Lta4h,135.291966643,145.462992739,122.556474097,108.62777477,142.473937101,113.499887975,109.230495402,98.5360604912,166.3629759,86.0628771801,125.035203001,92.1355180422,103.842469703,115.12990932,128.225262862,121.139408086,103.193385254,116.100095042,137.753766176,106.683296663,83.4834739852,137.941337905,72.6217197646,96.498456317,126.217593363,133.338617429,128.32598226,159.058219809,161.721085139,140.922620339,133.81531548,114.615812528,90.745037515,82.1168274156,121.278439025,128.926746821,143.34477647,148.010531972,137.581197573,143.437500585,140.500395291,144.864604836,145.891591061,121.475425252,133.161314584,103.188029846,113.257830553,126.471949818,102.14299826,105.231546049
Psap,243.537459477,218.094685154,210.584612194,203.035248255,184.444466439,166.853001655,213.829160247,211.074572252,255.94068601,155.272853892,188.545916119,182.790131501,138.859012846,195.625756854,207.084904986,241.274617002,166.830981265,221.656484583,187.652152291,169.687213936,242.948800006,227.672635659,196.088240564,172.663488758,208.742561567,232.458945164,179.918218098,202.96016843,216.357463139,201.104724084,228.5184429,240.704987198,214.395644353,171.612540083,226.912039921,183.957135472,213.895964186,248.669864429,171.018080356,268.850893913,250.215350292,227.511549363,276.91209936,184.651683841,235.40892615,193.760184003,253.709957834,151.651369887,220.639675068,213.630494255
Fstl1,97.8860357564,110.740330721,136.170383436,130.85361877,177.099179927,138.718543572,139.949168474,117.484120988,156.143962974,130.01973222,131.928260703,132.377669608,172.177020035,104.911867077,107.663682565,130.910058343,145.86123022,129.924846704,130.616770065,134.708495583,138.420588552,180.394914706,107.275389066,103.854679809,134.216271198,78.0537268234,110.608824127,157.204972617,178.009782757,78.8244279038,103.107616249,181.40169048,158.582152769,128.909128902,129.903244726,114.028786,163.187791593,152.314140913,74.5446526898,79.4561551204,83.0177782499,158.388910144,150.037364834,143.430835742,157.278756908,171.854361355,149.377017804,200.166320766,101.038156005,116.173258901
Smc1b,52.4287541226,19.8070974076,45.1609677971,58.4260192807,10.0409042325,16.8099088153,39.2276151668,65.4411787794,37.0945118311,60.377439885,92.0325119211,54.0939642845,59.4699746012,25.2914363849,26.1845139874,40.2081423177,52.8167358701,11.5181903014,45.27335501,0.81796395604,66.9346956829,31.8032646892,67.9303886198,33.3979384436,70.1004954663,71.7595898519,34.658333739,45.1999378607,44.8219182793,32.5577248422,18.1168415096,13.4014601834,16.7997501284,41.2162576311,49.8465644168,39.9037949012,59.1031538657,11.1101143053,91.3028299861,51.9914566981,44.6842047347,78.5544435369,12.9557333989,24.348892763,43.6886578787,35.95922435,90.2463986739,40.0700043163,62.2746089502,51.9510848614
Rhox5,768.649489296,502.548138375,1057.05936839,1171.79575982,289.168088088,368.780873104,790.939776803,1029.63711824,874.924181226,899.910653361,1886.11718839,1253.50847197,941.971972914,489.700925549,323.912182511,868.465979532,835.069989881,329.218383734,1045.17365684,68.1900162411,1271.01089121,545.409606432,1488.57427467,707.346838249,1153.41443284,1054.02037042,662.427423757,1051.93287024,560.490589993,940.037466379,384.445213735,461.784315478,383.300329103,1374.40641804,888.414318666,961.018316812,1044.26524753,284.984863217,1159.84925996,1076.58331352,774.241327404,1964.6203507,403.223093994,631.511648998,697.428967994,536.441364578,1684.59652462,827.161029916,1237.43964109,866.186167319
Ccnd3,102.811659228,108.354539089,109.890649518,100.520472071,110.308734572,108.802456599,94.0312683462,122.522320307,113.192932811,68.2811613455,109.717716466,93.8512652243,72.5712441685,122.949991645,115.282900202,107.832645832,82.2106584528,89.4805172927,107.688524226,84.8922147226,93.8399964251,107.870072827,96.5772725307,103.305787642,100.973882978,115.988483532,109.364419493,125.84480468,126.783696738,121.363891364,95.4175475516,114.952991473,96.1659870431,93.2233610011,100.19174177,104.638285535,107.229135694,109.352450922,105.699246578,96.5686482147,91.5549928484,118.661690807,106.831870687,99.3637543264,97.7942684241,75.3399942569,108.082303603,86.8082317411,109.154462511,94.5917940742
Sfrp1,68.5791292455,54.6987584757,78.146951272,37.3490175661,53.1466685752,70.2435152856,67.601247105,73.1791306029,62.2547333551,54.8771618869,96.4110616756,54.9993658796,34.9750597613,47.5015420098,34.2761967017,79.0022352045,53.0199691984,49.3534023766,73.7331078889,80.8172671571,91.8520367136,75.3500394923,66.7748057136,35.0366507127,78.1143277481,46.7244634016,56.6747203982,91.3779176137,88.9661770195,30.82299526,49.3992878613,89.8499177609,85.8013019249,62.8031523139,66.7178251106,32.8551116596,66.92467582,81.4237127881,38.3545521026,73.9762423602,63.379627233,81.4255300606,74.6704537637,87.5104887186,95.121963395,95.1663781716,79.6126080772,45.4481102617,49.668844401,46.6336845091
Vasp,171.547923854,167.323171946,192.287303232,198.955148682,169.105848729,195.885580834,214.34898243,208.236761593,241.197302804,152.942123116,207.924617906,149.139928674,125.400470499,191.694554889,206.096784166,181.680635541,156.358607085,226.767431438,232.105792696,129.359057608,163.824192435,164.232189458,135.932212245,199.852068605,154.206915845,212.30390539,210.078275719,187.216408169,189.869998877,236.814755644,215.815399121,161.478789316,155.814711659,207.39896823,147.565714764,180.305440645,207.268750477,235.558967385,188.595275596,200.821773341,182.111059297,212.969121233,187.329689331,146.694079255,247.809236148,192.412757885,239.348353707,150.880382071,208.150060175,185.321971279
Ccl12,78.1667596479,74.4686646471,75.100090704,292.885427005,39.4666904152,76.5054407699,118.330111704,478.216525967,391.17975703,39.5531729153,82.8992511783,396.41252464,0.0,282.196977234,109.560661934,197.55221595,118.117810558,284.575016788,301.147936687,70.7318034789,442.142284833,157.149940156,41.9581787072,156.109199384,279.161873655,73.8722329366,219.293441027,162.857273967,201.869066929,34.3337120899,0.0,502.174646911,191.148016108,243.006393,111.475405584,115.020038808,152.56201433,184.754807693,187.981674322,72.5138328389,113.64639943,212.276218806,37.3440411372,77.9822959881,120.570946266,122.743511232,169.649511489,206.248440016,258.188419042,157.626896908
Rasgrp2,76.6060830208,69.3327329353,77.2806753115,78.93536198,85.0931376389,59.9823472132,100.505196177,82.0169805511,69.0065039674,73.6505639647,97.4929028154,85.4695064778,83.9978587742,82.9687906863,96.6358575125,73.570998455,61.7383849098,66.2371338755,103.297327152,76.2515304116,63.027560297,80.8564502827,49.3445306305,107.094627429,93.8016448751,112.21581621,85.9660122787,83.7929754385,79.1354205812,104.309437322,80.2563412948,64.3578459411,82.4258850841,59.5386325356,91.0414074279,71.3915816865,100.923274958,68.8050782218,84.745079809,78.1726247321,81.6767135962,83.2151657017,113.455134364,72.6040372423,82.7145396947,100.244013078,83.1311456439,88.9374138517,75.9100296081,84.96384605
Glrx5,1880.5305339,2069.36752127,1989.71513431,2179.64480684,1953.05855201,2318.17699401,2054.0041623,2311.90243981,1834.54463448,1330.99000777,1666.19463725,1575.3935694,1233.27540224,2540.5322057,2613.55981621,1690.51650246,1444.81542512,1874.06252126,2115.03454252,1470.10575087,1120.00935265,1633.11989381,1571.63947674,2287.86517719,1657.7609493,2457.72825004,2042.40398743,1884.61197674,1850.40784246,2791.66442023,2672.75091094,1852.7771153,1484.36656877,1492.39232959,1623.83125623,2113.30421435,1928.08288743,1879.20173358,2203.97889851,2026.08715483,2226.50115276,2417.70959735,2217.6199162,1882.02972212,1352.43026775,1046.6169483,1646.77397908,1218.49455127,2398.102748,1956.09133031
Trf,39.0952035662,102.973120235,106.055732387,62.4724039867,130.047252156,31.5117705667,167.104813624,28.1388940556,138.105211452,51.2019443063,48.7790178617,65.3112270213,7.56485783405,116.233908487,176.209650299,39.52239613,25.4840977853,106.747915559,70.8797745402,74.9151547359,21.2860128326,150.262299079,74.0662449725,82.6710493182,105.5973507,158.656012608,66.6681693475,43.1223200846,159.168461394,107.072779028,243.024918886,104.55666118,78.7318178583,14.2988181632,26.2374423065,33.8396574619,123.433077317,178.287970225,77.4276356344,155.738565355,118.138850252,77.4418067638,50.5395758666,52.7686887162,85.1346509108,21.6671725318,72.372414881,21.8446767053,58.5982878147,39.4186457892
Snca,25.9885129196,20.0429901735,22.5909288832,15.6498999798,20.619810741,28.4642804529,19.3586799353,27.7610594739,17.3410116445,16.2815108053,26.2494754497,21.3386190653,12.8911214128,20.1050379482,13.2984570409,23.1448116659,29.2975981173,17.4585633411,24.4350812579,11.1983685772,17.8183474523,21.1481884445,21.2572280928,18.5365875073,15.7847642186,19.2976842769,16.2021425617,15.4702893719,14.7017026023,16.3072992781,20.8570135575,17.7357457519,20.5787377909,19.87779322,15.8840628381,26.7082207715,22.9461614739,21.0604802713,20.2378537018,19.516853779,23.9902317523,28.2306355275,18.9195724128,24.0752416527,22.2704752484,18.1374131228,19.4729005516,18.2860004164,23.9421198709,19.9645873842
